$Revision: 1.12 $


-------,----------------------------------------------------------------------
1xxxxxx,アバター
100100x,カタログ用モデル,11/25で消滅?
1001011,男性アバタ M
1001021,男性アバタ L
1001031,男性アバタ S

100200x,カタログ用モデル,11/25で消滅?
1002011,女性アバタ M
1002021,女性アバタ S
1002031,女性アバタ XS

-------,----------------------------------------------------------------------
2xxxxxx,キャラドル
2012011,朝倉音姫(キャラドル)
2012021,朝倉由夢(キャラドル)
2012031,白河ななか(キャラドル)

2022011,古河渚(キャラドル)
2022021,藤林杏(キャラドル)
2022031,坂上智代(キャラドル)

2032011,リシアンサス(キャラドル)
2032021,ネリネ(キャラドル)
2032031,芙蓉楓(キャラドル)

-------,----------------------------------------------------------------------
300xxxx,NPC1(非原作系)
3001011,男性1(首なし)
3001021,男性2(腰に手ポーズ)
3001031,男性3(腕組みポーズ)
3001041,男性4(執事風)
3001051,男性5(直立)
3001061,男性6(店員風)
3001071,男性7(ポーズ違い),使用不可?
3001081,男性8(ポーズ違い),使用不可?

3002011,女性1,使用不可?
3002021,女性2(おかっぱ)
3002031,女性3(椋タイプキャラドル)
3002041,女性4(ポニーテール)
3002051,女性5(OLタイプ)
3002061,女性6(セミロングタイプ)
3002071,女性7(首なし)
3002081,女性8(女性4と同じ)
3002091,女性9(女性3と同じ),使用不可?
3002101,女性10(女性6と同じ),使用不可?

-------,----------------------------------------------------------------------
30xxxxx,NPC2(原作系)
3012011,朝倉音姫
3012021,朝倉由夢
3012031,白河ななか
3012041,雪村杏
3012051,月島小恋

3022011,古河渚
3022021,藤林杏
3022031,坂上智代
3022041,伊吹風子
3022051,一ノ瀬ことみ

3032011,リシアンサス
3032021,ネリネ
3032031,芙蓉楓
3032041,プリムラ
3032051,時雨亜沙

-------,----------------------------------------------------------------------
399xxxx,不明
3981010,不明
3982010,不明

-------,----------------------------------------------------------------------
399xxxx,NPC3(外神田系)
3992010,燐
3992020,蛍
3992030,真珠

-------,----------------------------------------------------------------------
4xxxxxx,NPC4(関係者)
4000011,ニワンゴ
4010011,南極さくら

-------,----------------------------------------------------------------------
6xxxxxx,NPC5(aiばいと用キャラ)
601001x,はりまお(赤)(のはず)
601002x,はりまお(銀)(のはず)
601003x,はりまお(金)(のはず)
602001x,だんご(水色)
602002x,だんご(若草)
602003x,だんご(ピンク)
603001x,白丸(のはず)
603002x,黒丸(のはず)
603003x,虎丸(のはず)

-------,----------------------------------------------------------------------
8000xxx,イベント用のオブジェクト
800001x,不明
800002x,不明
800003x,マイルームの倉庫のドア
800004x,ai sp@ce入植時にもらった手紙
800005x,サークルリンクの部品
800006x,神社かほこら
800007x,グー
800008x,チョキ
800009x,パー
800010x,aiころ
800011x,手紙
800012x,不明
800013x,投票箱
800014x,給水所
800099x,マイルームの入り口のドア

-------,----------------------------------------------------------------------
8800xxx,aiぽん
880010x,aiぽん500P(赤)
880011x,aiぽん500P(青)
880012x,aiぽん500P(緑)
880013x,aiぽん300P(赤)
880014x,aiぽん300P(青)
880015x,aiぽん300P(緑)
880020x,aiぽん2000D(赤)
880021x,aiぽん2000D(青)
880022x,aiぽん2000D(緑)
880030x,aiぽん(ハロウィン)
880031x,aiぽん(クリスマス)
880032x,aiぽん(正月)
880033x,aiぽん(バレンタイン)
880034x,aiぽん(入学式)
880040x,aiぽん(創立者祭)
